Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
1365,sicko,2007,filmmaker michael moore examines america healthcare crisis million citizen without coverage moore spotlight case several ordinary citizen whose life shattered bureaucratic red tape refusal payment healthcare catastrophe explains system become problematic visit country citizen receive free health care canada france uk,91,87.0,driven michael moore sincere humanism sicko devastating convincing entertaining documentary state america health care,219,250000,special interest,pg13 brief strong language,documentary,english,michael moore,michael moore meghan ohara,michael moore,jun 29 2007 wide,aug 10 2016,245m,1h 53m,dog eat dog film,dolby srd dts sdds,flat 1851,unknown,tucker albrizzi tony benn aleida guevara reggie cervantes patrick pedraja linda peeno william maher meghan ohara christopher seward geoffrey richman
1366,sweetgrass,2009,spare documentary follows group shepherd guide hundred sheep endless mile montana wilderness herding livestock beartooth mountain crew cover stunning landscape brave dangerous weather threat various wild animal including bear wolf shepherd make journey film depicts hardship face ageold occupation seems largely outmoded 21stcentury united state,97,65.0,tender unsentimental sweetgrass gracefully capture beauty hardship dying way life,64,500,special interest,unknown,documentary,english,lucien castaingtaylor illisa barbash,ilisa barbash,unknown,jan 6 2010 limited,apr 17 2020,2067k,1h 42m,unknown,unknown,unknown,unknown,lucien castaingtaylor ilisa barbash
1367,film unfinished,2009,israeli director yael hersonski examines recently found film reel unfinished nazi movie entitled da ghetto awardwinning documentary decade historian relied da ghetto portrayal life occupied warsaw new footage provides rare insight one biggest propaganda machine time hersonski us personal journal account well interview surviving cameraman reexamine dark cinematic relic,97,86.0,heartbreaking haunting historical document film unfinished excavates particularly horrible chapter holocaust history film provides glimpse nazi propaganda machine,65,1000,special interest,unknown,documentary,german,yael hersonski,itai kentor noemi schory,yael hersonski,unknown,aug 10 2016,3115k,1h 29m,unknown,unknown,unknown,unknown,yael hersonski yael hersonski noemi schory joel alexis
1368,bigger stronger faster,2008,documentary present pervasive use steroid sport indication american obsession winning cost bell brother sucked world performanceenhancing drug thinking ticket realizing american dream interview politician doctor bodybuilder coach raise question end really justify mean mad dash win entire culture may poised lose,96,81.0,bigger stronger faster fascinating informative entertaining especially introspective account american enhancement culture,76,100000,special interest,pg13 thematic material invol drugssome sexual contentlanguageviolent image,documentary,english,christopher bell,alexander buono jim czarnecki dave wein,christopher bell alexander buono,may 30 2008 limited,nov 30 2016,3078k,1h 45m,unknown,unknown,unknown,unknown,alexander buono alexander buono jim czarnecki
1369,trouble water,2008,hurricane katrina raged around scott kimberly river robert took shelter neighbor attic new orleans ninth ward kimberly aspiring rapper brought video camera filmed husband friend devastating storm footage heart tia lessin carl deal documentary hurricane katrina tragedy along filmmaker footage kimberly scott rebuilding life afterwards,96,86.0,incredible documentary display tragedy mismanagement katrina along heroism stranger survivor,76,1000,special interest,unknown,documentary,english,carl deal,carl deal,unknown,aug 22 2008 limited,sep 3 2016,5200k,1h 33m,elsewhere film,unknown,unknown,unknown,carl deal david alcaro joslyn barnes carl deal danny glover
1370,food inc,2008,documentary filmmaker robert kenner examines mammoth corporation taken aspect food chain united state farm food grown chain restaurant supermarket sold narrated author activist eric schlosser film feature interview average american dietary habit commentary food expert like michael pollan unsettling footage shot inside largescale animal processing plant,95,86.0,eyeopening expose modern food industry food inc fascinating terrifying essential viewing healthconscious citizen,114,50000,special interest,pg thematic materialdisturbing image,documentary,english,robert kenner,robert kenner elise pearlstein,robert kenner elise pearlstein,jun 12 2009 limited,dec 5 2016,44m,1h 34m,magnolia picture,unknown,unknown,unknown,eric schlosser michael pollan joel salatin gary hirshberg richard lobb carole morison barbara kowalcyk patricia buck robert kenner robert kenner elise pearlstein william pohlad robin schorr robert kenner elise pearlstein richard pearce mark adler
1372,chasing ice,2012,james balog team extreme ice survey assemble multiyear chronicle planet rapidly melting glacier,96,85.0,chasing ice capture urgency climate change prevailing entertainment thanks aweinspiring scenery james balogs charisma,72,10000,special interest,pg13 brief strong language,documentary biography,english,jeff orlowski,jerry aronson paula dupré pesmen jeff orlowski,mark monroe,nov 9 2012 limited,aug 10 2016,unknown,1h 14m,diamond doc exposure,unknown,unknown,unknown,james woolsey james balog louie psihoyos jeff orlowski synte peacock jeff orlowski mark monroe david j cornfield linda cornfield jerry aronson paula dupré pesmen jeff orlowski j ralph jeff orlowski davis coombe
1373,,2002,rural france schoolteacher george lopez educates 12 child whose age range 4 11 year old course year soontoretire lopez instructs one small classroom traditional tool french teaching rote repetition dictation literary passage copying season pas lopez must keep student disciplined preparing older child exam determine educational future,97,91.0,small sensitive moving portrait teacher student,59,5000,special interest,unknown,documentary,french canada,nicolas philibert,gilles sandoz,unknown,sep 5 2003 wide,may 1 2008,7756k,1h 45m,canal plus image international,surround dolby,unknown,unknown,alizé guillaume johann julien létitia george lopez nicolas philibert gilles sandoz serge lalou philippe hersant laurent didier katell djian hugues gemignani nicolas philibert nicolas philibert isabelle pailley sandoz
1374,salt earth,2014,juliano ribeiro salgado codirects look career father photographer sebastião salgado,95,90.0,work honor may pose thorny ethical question salt earth neglect answer remains shattering thoughtprovoking testament sebastião salgados career,94,5000,special interest,pg13 image violencesufferingdisturbing imagesnuditythematic material,documentary,french france,wim wenders juliano ribeiro salgado,david rosier,juliano ribeiro salgado wim wenders david rosier,mar 27 2015 limited,aug 10 2016,11m,1h 49m,région iledefrance,unknown,unknown,unknown,sebastião salgado wim wenders juliano ribeiro salgado hugo barbier jacques barthélémy wim wenders juliano ribeiro salgado juliano ribeiro salgado wim wenders david rosier david rosier wim wenders hugo barbier juliano ribeiro salgado maxine goedicke
1375,wild parrot telegraph hill,2004,homeless musician life transformed discovers flock wild south american parrot living san francisco got mystery mark bittner form bond exotic bird music patient attentive care time come appreciate individual identity make case human reevaluate relationship animal forced leave despair bird fate,95,85.0,interesting appealing study man nature,101,5000,special interest,g,documentary,english,judy irving,judy irving,unknown,unknown,aug 17 2016,unknown,1h 23m,unknown,unknown,unknown,unknown,judy irving judy irving
1376,gatekeeper,2012,six former head israel secret service agency shin bet discus organization success failure since six day war 1967,94,79.0,strikingly stark brutally honest rivetingly assembled gatekeeper offer essential perspective seemingly intractable war men fought,112,10000,special interest,pg13 violent contentdisturbing image,documentary,hebrew,dror moreh,dror moreh estelle fialon philippa kowarsky,unknown,feb 1 2013 limited,may 17 2014,24m,1h 36m,cinephil le film du poisson,unknown,unknown,unknown,ami ayalon avi dichter dror moreh dror moreh estelle fialon philippa kowarsky
1379,control room,2004,filmmaker jehane noujaim provides behindthescenes look operation aljazeera prominent television news network arab world war iraq interview american journalist journalist reporting aljazeera highranking u military official noujaim explores nature medium bias aljazeeras relationship arab community network perception western world,95,87.0,fascinating enlightening behindthescenes look al jazeera network,111,5000,special interest,unknown,documentary,arabic,jehane noujaim,rosadel varela hani salama,julia bacha jehane noujaim,unknown,jun 15 2017,26m,1h 25m,unknown,dolby sr,flat 1851,unknown,josh rushing tom mintier jehane noujaim julia bacha jehane noujaim abdullah schleifer rosadel varela rosadel varela hani salama bentjorgen perlmutt julia bacha
1380,bus 174,2002,young brazilian hijack bus rio de janeiro rob passenger hold entire bus hostage press broadcast live documentary chronicle incompetent response police officer public event inspired nationwide protest included detail captor harsh childhood witnessing mother murder homelessness provides one example tragic social political indifference urban poverty modern brazil,96,90.0,bus 174 us reallife tragedy grist gripping terribly thoughtprovoking look societal tension police violence,79,5000,special interest,r languageviolent imagessome drug material,documentary,portuguese brazil,josé padilha felipe lacerda,josé padilha,unknown,unknown,jul 20 2004,2162k,2h 13m,zazen producoes,surround,unknown,unknown,sandro nascimento rodrigo pimentel luiz eduardo soares maria aparecida felipe lacerda rodrigo pimentel cezar moraes felipe lacerda felipe lacerda
1381,touching void,2003,1985 two young climber joe simpson brendan mackey simon yates nicholas aaron set first reach summit siula grande peruvian andes succeed two embark treacherous descent mountain meet disaster simpson break leg fall leaving yates lower rest way rope storm threatens life yates must decide whether cut rope risk simpson likely death,94,92.0,gripping even though outcome known,140,10000,special interest,r language,drama adventure,english,kevin macdonald,john smithson,unknown,unknown,feb 15 2017,46m,1h 47m,darlow smithson production,surround,unknown,unknown,brendan mackey nicholas aaron richard hawking joe simpson simon yates ollie ryall kevin macdonald john smithson
1383,winnipeg,2007,canadian filmmaker guy maddin conduct personal tour winnipeg manitoba town grew still life film call docufantasia combining archival footage interview dreamlike camera work recreated scene including several actress ann savage playing part maddins mother filmmaker build portrait winnipeg manages historical intimate surreal entertaining entirely,95,77.0,winnipeg charmingly irreverent docufantasy unpredictable mind guy maddin,92,2500,special interest,unknown,comedy drama documentary,english,guy maddin,jody shapiro phyllis lang,guy maddin george tole,jun 13 2008 limited,nov 18 2016,1566k,1h 20m,unknown,dolby digital,unknown,unknown,guy maddin ann savage louis negin amy stewart darcy fehr kate yacula guy maddin guy maddin george tole michael burn jody shapiro john gurdebeke
1384,manakamana,2013,high nepal cable car transport visitor ancient hindu temple site shrine wishfulfilling goddess manakamana,96,61.0,tranquil pace prove jarring blockbusterinclined manakamana reward patient viewer singularly haunting experience,54,1000,special interest,unknown,documentary,nepali,stephanie spray pacho velez,lucien castaingtaylor verena paravel,unknown,apr 18 2014 limited,aug 10 2016,unknown,1h 58m,unknown,unknown,unknown,unknown,stephanie spray pacho velez lucien castaingtaylor verena paravel pacho velez stephanie spray pacho velez
1385,divine,2012,life work cultural icon recording artist actor divine,96,83.0,warmth affection divine offer engaging portrait complex personality behind trailblazing cinematic figure,54,2500,special interest,unknown,documentary,english,jeffrey schwarz,jeffrey schwarz lotti pharriss knowles,unknown,unknown,aug 10 2016,637k,1h 30m,automat picture,unknown,unknown,unknown,michael musto mark payne greg gorman mink stole john water vincent peranio pat moran sue lowe mary vivian pearce alonso duralde jeffrey schwarz jeffrey schwarz lotti pharriss knowles john chater david ford
1386,cutie boxer,2013,noriko seek identity 40 year marriage famous boxing artist ushio shinohara,95,75.0,beautifullymade documentary explores challenge richness marriage art lens fascinating complex couple,75,2500,special interest,r nude art image,documentary biography,english,zachary heinzerling,patrick burn lydia dean pilcher ezra edelman zachary heinzerling,zachary heinzerling,aug 16 2013 limited,aug 10 2016,1993k,1h 22m,unknown,unknown,unknown,unknown,noriko shinohara zachary heinzerling zachary heinzerling kiki miyake lydia dean pilcher zachary heinzerling yasuaki shimizu zachary heinzerling david teague
1387,brooklyn castle,2012,chess help transforms new york school one city best recessiondriven budget cut threaten undermine school championship chess team,96,81.0,brooklyn castle warm engaging even uplifting documentary chessplaying whiz kid,53,5000,special interest,pg language,documentary,english,katie dellamaggiore,katie dellamaggiore nelson dellamaggiore brian schultz,unknown,oct 19 2012 limited,feb 26 2016,2194k,1h 41m,le castle film work rescued medium,unknown,unknown,unknown,katie dellamaggiore wendy ettinger robert mclellan katie dellamaggiore nelson dellamaggiore
1389,deep water,2006,1968 donald crowhurst inexperienced british sailor put home collateral gain financial backing enters golden globe first nonstop boat race around world dire financial pressure crowhurst decides set sail boat fully built leaving unprepared stress open ocean crowhurst underprepared decision embark vessel ready set deadly chain event motion,96,87.0,equal part mystery biography deep water engrossing documentary affecting treatise human folly obsession,55,2500,special interest,pg incidental smokingthematic elementsmild language,documentary,english,louise osmond jerry rothwell,unknown,louise osmond jerry rothwell,aug 24 2007 limited,apr 4 2017,2705k,1h 33m,unknown,dolby digital,unknown,unknown,tilda swinton louise osmond jerry rothwell louise osmond jerry rothwell nina kellgren molly nyman harry escott
1390,last unjust,2013,benjamin murmelstein jewish elder survive world war ii fought adolf eichmann week week seven year managed help 120000 jew leave germany,96,78.0,documentarian claude lanzmann brings ghost holocaust back vivid life last unjust dense haunting investigation complicity moral quandary,48,500,special interest,pg13 thematic material,documentary biography,german,claude lanzmann,david frenkel danny krausz jean labadie kurt stocker,claude lanzmann,unknown,aug 10 2016,384k,3h 38m,unknown,unknown,unknown,unknown,claude lanzmann claude lanzmann david frenkel danny krausz jean labadie kurt stocker caroline champetier william lubtchansky chantal hymans
1391,devil came horseback,2007,serving african union former marine capt brian steidle document brutal ethnic cleansing occuring darfur determined western public know atrocity witnessing steidle contact new york time reporter nicholas kristof publishes steidles photographic evidence,96,90.0,devil came horseback strong primer complexity situation darfur harrowing firstperson doc,54,2500,special interest,unknown,documentary,arabic,ricki stern anne sundberg,eileen haag ira lechner,ricki stern anne sundberg,jul 25 2007 limited,mar 23 2017,1323k,1h 28m,break thru film,unknown,unknown,unknown,ricki stern anne sundberg ricki stern anne sundberg omar amanat eileen haag ira lechner
1392,good hair,2009,prompted question young daughter comic chris rock set explore importance hair black culture rock interview celebrity icet raven symone visit hair salon stylist competition even indian temple learn hair culture,95,69.0,funny informative occasionally sad good hair provocative look complex relationship african american hair,83,25000,special interest,pg13 sex drug referencesbrief partial nuditysome language,documentary,english,jeff stilson,chris rock kevin odonnell jenny hunter,chris rock jeff stilson lance crouther chuck sklar,oct 9 2009 limited,dec 19 2015,42m,1h 35m,hbo film,unknown,unknown,unknown,chris rock maya angelou nia long icet eve meagan good andre harrell melyssa ford jeff stilson chris rock jeff stilson lance crouther chuck sklar chris rock jenny hunter nelson george cliff charles
1393,yangtze,2007,documentary examine china rapidly changing economy focusing construction three gorge dam government dam stand symbol progress displaces hundred family creation following local teenager chen bo yu yu shi work one western cruise line sail yangtze near dam film detail friction chinese society citizen struggle reality new consumer capitalism,96,83.0,yangtze visually stunning meditation change confronting modern china,53,1000,special interest,unknown,documentary,english,yung chang,unknown,yung chang,apr 25 2008 limited,mar 23 2017,7834k,1h 33m,unknown,unknown,unknown,unknown,yung chang yung chang
1394,5 broken camera,2011,beginning 2005 palestinian emad burnet record village resistance encroachment israeli settlement,96,88.0,unknown,48,1000,special interest,unknown,war documentary,hebrew,emad burnat guy davidi,emad burnat guy davidi,unknown,may 3 2012 limited,mar 23 2017,1085k,1h 30m,unknown,unknown,unknown,unknown,emad burnat yisrael puterman emad burnat guy davidi emad burnat guy davidi emad burnat guy davidi
1395,national gallery,2014,education program scholar scientist curator work enjoy national gallery london,95,71.0,national gallery find director frederick wiseman best drawing viewer richly detailed patiently constructed observation modern institution,66,1000,special interest,unknown,documentary,english,frederick wiseman,pierreolivier bardet frederick wiseman,unknown,unknown,unknown,1001k,3h,unknown,unknown,unknown,unknown,nicholas penny larry keith luke syson dawson carr ashok roy david jaffe frederick wiseman pierreolivier bardet frederick wiseman john davey frederick wiseman
1396,plague pleasure salton sea,2004,john water narrates story southern california salton sea manmade lake considered prime recreation location turned ecological disaster,96,86.0,plague pleasure thoroughly engrossing account humorous disheartening bustling community ravaged ecological change human greed,53,500,special interest,unknown,documentary,english,chris metzler jeff springer,unknown,unknown,feb 24 2006 limited,sep 25 2007,unknown,1h 13m,tilapia film,unknown,unknown,unknown,john water chris metzler jeff springer
1397,last day vietnam,2014,final week vietnam war american serviceman others begin difficult mission evacuating many friend family member south vietnamese collaborator possible saigon fall north vietnamese,95,84.0,gripping inspiring last day vietnam offer surprisingly fresh heartwrenching perspective end vietnam war,62,5000,special interest,unknown,drama history war documentary,english,rory kennedy,rory kennedy kevin mcalester,mark bailey keven mcalester,sep 5 2014 limited,nov 25 2016,4087k,1h 38m,moxie firecracker film,unknown,unknown,unknown,henry kissinger stuart herrington juan valdez frank snepp kiem ron nessen rory kennedy mark bailey keven mcalester mark samels rory kennedy
1398,super size,2004,director morgan spurlocks social experiment fastfood gastronomy see attempting subsist uniquely food mcdonalds menu entire month process weight balloon energy level plummet experience sort unexpected terrifying side effect also examines corporate giant growing role life american consumer explores method indoctrinating young people contribution america obesity epidemic,92,72.0,entertaining doc adverse effect eating fast food,171,250000,special interest,pg13 languagegraphic medical proceduresex drug reference,documentary,english,morgan spurlock,morgan spurlock,morgan spurlock,may 7 2004 wide,aug 10 2016,115m,1h 38m,con,unknown,unknown,unknown,morgan spurlock morgan spurlock morgan spurlock morgan spurlock heather winter
1399,arbor,2010,mix documentary fictional element tell story doomed playwright andrea dunbar wrote difficult life endured growing england bradford housing project archival footage featuring dunbar presented along interview family member including daughter lorraine led similarly troubled life excerpt dunbars famous play arbor performed street hometown buttershaw estate lived,96,74.0,smart inventive arbor offer intensely memorable twist tired documentary trope,46,1000,special interest,unknown,drama,english,clio barnard,tracy oriordan,unknown,apr 27 2011 limited,feb 18 2016,213k,1h 34m,unknown,unknown,unknown,unknown,manjinder virk christine bottomley neil dudgeon natalie gavin robert emms danny webb clio barnard tracy oriordan harry escott molly nyman ole bratt birkeland nick fenton amy hubbard
1406,rocky,1976,rocky balboa sylvester stallone smalltime boxer workingclass philadelphia arbitrarily chosen take reigning world heavyweight champion apollo creed carl weather undefeated fighter scheduled opponent injured training feisty former bantamweight contender mickey goldmill burgess meredith rocky tentatively begin relationship adrian talia shire wallflower sister meatpacker pal paulie burt young,92,69.0,story downonhisluck boxer thoroughly predictable sylvester stallones script stunning performance title role brush aside complaint,66,250000,sport fitness,pg,drama,english,john g avildsen,irwin winkler robert chartoff,sylvester stallone,dec 1 1976 wide,oct 31 2015,unknown,1h 59m,united artist,mono,unknown,rocky,sylvester stallone talia shire burgess meredith burt young carl weather thayer david joe spinell james gambina al silvani george memmoli john g avildsen sylvester stallone gene kirkwood irwin winkler robert chartoff bill conti james crabe scott conrad richard halsey william j cassidy
1409,battle sex,2017,1973 tennis match billie jean king bobby riggs became watched televised sport event time trapped medium glare king riggs opposite side binary argument offcourt fighting personal complex battle husband urging fight equal pay private king also struggling come term sexuality riggs gambled legacy reputation bid relive glory past,85,71.0,battle sex turn reallife event crowdpleasing wellacted dramedy ably entertains smartly serving volley presentday parallel,313,10000,sport fitness,pg13 sexual contentpartial nudity,comedy drama,english,valerie faris jonathan dayton,christian colson danny boyle robert graf,simon beaufoy,sep 29 2017 wide,dec 19 2017,126m,2h 1m,decibel film cloud eight,dolby digital dts sdds,scope 2351,unknown,emma stone steve carell andrea riseborough natalie morale sarah silverman bill pullman alan cumming elisabeth shue eric christian olsen fred armisen valerie faris jonathan dayton simon beaufoy christian colson danny boyle robert graf linus sandgren pamela martin nicholas britell judy becker
1410,fighter,2010,micky ward mark wahlberg boxing family affair toughasnails mother manager halfbrother dicky christian bale promising boxer unreliable trainer despite mickys hard work losing latest fight nearly kill follows girlfriend advice split family micky becomes contender world title family earns shot redemption,90,89.0,led trio captivating performance mark wahlberg christian bale amy adam fighter solidly entertaining albeit predictable entry boxing drama genre,252,100000,sport fitness,r language throughoutdrug contentsexualitysome violence,drama biography,english,david russell,david hoberman todd lieberman ryan kavanaugh mark wahlberg dorothy aufiero paul tamasy,scott silver paul tamasy eric johnson,dec 17 2010 wide,aug 1 2013,936m,1h 56m,relativity closest hole mandeville film,dolby digital dts,unknown,unknown,mark wahlberg christian bale amy adam melissa leo jack mcgee mickey okeefe melissa mcmeekin bianca hunter erica mcdermott jill quigg david russell scott silver paul tamasy david hoberman todd lieberman ryan kavanaugh mark wahlberg dorothy aufiero paul tamasy
1412,crash reel,2013,snowboarder kevin pearce suffers traumatic brain injury training 2010 winter olympics family stand side struggle rehab object express desire return favorite sport,96,94.0,smart compassionate moving crash reel us familiar sportdoc formula subvert expectation ask challenging question ambition achievement,46,1000,sport fitness,unknown,documentary,english,lucy walker,julian cautherley lucy walker,unknown,dec 13 2013 limited,jan 14 2014,unknown,1h 49m,tree tree tree,unknown,unknown,unknown,shaun white mason aguirre dr daniel amen sarah burke rory bushfield lucy walker julian cautherley lucy walker geralyn white dreyfous sheila nevins moby nick higgins pedro ko
1413,sugar,2008,like many young men dominican republic 19yearold miguel sugar santos algenis perez soto dream winning slot american baseball team indeed talent pitcher eventually land slot singlea team iowa culture shock racism curveballs threaten turn sugar dream sour,92,80.0,sugar exceptionallycrafted film part sport flick part immigrant tale touching poignant drama highlighted splendid performance,138,10000,sport fitness,r languagebrief drug usesome sexuality,drama,english,anna boden ryan fleck,paul mezey jamie patricof jeremy kipp walker,anna boden ryan fleck,apr 3 2009 limited,apr 16 2012,11m,1h 58m,hbo film,unknown,unknown,unknown,algenis perez soto rayniel rufino andre holland michael gaston jaime tirelli jose rijo ann whitney richard bull ellary porterfield alina vargas anna boden ryan fleck anna boden ryan fleck paul mezey jamie patricof jeremy kipp walker anna boden andrij parekh anna boden
1414,senna,2010,ayrton senna becomes threetime formula one racing champion brazil national hero untimely death age 34,93,95.0,even filmgoers arent racing fan senna offer heartpounding thrill heartbreaking emotion,122,10000,sport fitness,pg13 strong languagedisturbing image,documentary,english,asif kapadia,unknown,manish pandey,aug 12 2011 limited,aug 10 2016,16m,1h 44m,universal picture working title film studiocanal,unknown,unknown,unknown,alain prost ron dennis viviane senna neide senna asif kapadia manish pandey liza chasin debra hayward kevin macdonald manish pandey antonio pinto jake polonsky gregers sall
1415,damned united,2009,story brian cloughs 44 day stint manager leeds united football club take place 1974 england revie quits leeds become england bos outspoken brian clough take charge determined impose style upon revies tough tackling team clough soon alienates player board based book david pearce,92,85.0,better average football pic damned united carried another star turn michael sheen brian clough,139,50000,sport fitness,r language,drama biography,english,tom hooper,andy harries grainne marmion,peter morgan,oct 9 2009 limited,apr 16 2012,4496k,1h 37m,left bank picture columbia picture corporation screen yorkshire bbc film,unknown,unknown,unknown,michael sheen timothy spall jim broadbent stephen graham joe dempsie colm meaney martin compston maurice roëves elizabeth carling brian mccardie tom hooper peter morgan andy harries hugo heppell christine langan grainne marmion melanie oliver daniel hubbard
1416,creed ii,2018,1985 russian boxer ivan drago killed former u champion apollo creed tragic match stunned world wish trainer rocky balboa apollo son adonis johnson accepts challenge dragos son another dangerous fighter guidance rocky adonis train showdown life date destiny soon becomes obsession johnson balboa must confront shared legacy past come back haunt man,83,79.0,creed ii adherence franchise formula add sequel true surprise timetested generational theme still pack solid punch,305,5000,sport fitness,pg13 languagea scene sensualitysports action violence,drama,english,steven caple jr,sylvester stallone kevin kingtempleton charles winkler william chartoff david winkler irwin winkler,sylvester stallone juel taylor,nov 21 2018 wide,feb 12 2019,1157m,2h 10m,metrogoldwynmayer studio new line cinema warner bros,unknown,scope 2351,rocky,michael b jordan sylvester stallone tessa thompson phylicia rashad dolph lundgren florian big nasty munteanu russell hornsby wood harris milo ventimiglia steven caple jr sylvester stallone juel taylor sylvester stallone kevin kingtempleton charles winkler william chartoff david winkler irwin winkler ryan coogler
1417,boxing gym,2010,veteran awardwinning documentary filmmaker frederick wiseman turn lens world boxing specifically gym austin texas unobtrusively recording simple coming going facility wiseman document daily life gym many patron routine owner richard lord film forgoes technique common modern documentary talkinghead interview reenactment etc favor lowkey approach,95,75.0,unknown,42,1000,sport fitness,unknown,documentary,english,frederick wiseman,frederick wiseman,unknown,oct 22 2010 limited,unknown,345k,1h 31m,unknown,dolby digital,unknown,unknown,frederick wiseman frederick wiseman frederick wiseman
1418,red army,2014,hockey captain slava fetisov four player form nearly unbeatable unit known russian five coach brutal regimen lead fetisov others defect soviet union,92,85.0,fun fascinating red army delivers absorbing documentary drama hockey fan sport novice alike,101,5000,sport fitness,pg thematic materiallanguage,documentary,english,gabe polsky,unknown,gabe polsky,jan 23 2015 limited,nov 30 2016,7287k,1h 25m,gabriel polsky production,unknown,unknown,unknown,scotty bowman viacheslav fetisov anatoli karpov gabe polsky gabe polsky werner herzog jerry weintraub liam satremeloy peter zeitlinger svetlana cvetko eli despres kurt engfehr christophe beck
1419,riding giant,2004,part sport history part thrill ride skateboarder stacy peraltas documentary pay homage brave foolish surfer dare ride world biggest wave peralta lay evolution bigwave surfing 50 today touching upon changing trend constant search ever larger wave shift focus handful contemporary surfing superstar among jeff clark pioneer san franciscos remote wave laird hamilton known towin riding,93,94.0,great addition existing surfing documentary,96,5000,sport fitness,pg13 brief strong language,documentary,english,stacy peralta,agi orsi,stacy peralta sam george,unknown,apr 9 2013,23m,1h 42m,canal,surround dolby digital,unknown,unknown,darrick doerner laird john hamilton brian l keaulana titus kinimaka stacy peralta stacy peralta sam george agi orsi paul crowder
1420,dogtown zboys,2001,dogtown zboys directed cowritten skateboard legendturnedfilmmaker stacy peralta story group accidental revolutionary gifted kid inadvertently changed world came naturally also unique documentary event groundlevel eyewitness account birth organic american pop culture phenomenon,92,88.0,dogtown zboys colorful exhilarating look skateboarding subculture,98,10000,sport fitness,pg13 drug referenceslanguage,documentary,english,stacy peralta,agi orsi,stacy peralta craig stecyk,apr 26 2002 wide,apr 16 2012,13m,1h 29m,agi orsi production van wall,dolby stereo dolby digital dolby dolby sr,flat 1851,unknown,sean penn jay adam tony alva bob biniak paul constantineau shogo kubo jim muir peggy oki stacy peralta nathan pratt stacy peralta agi orsi jay wilson stacy peralta craig stecyk peter pilafian paul crowder craig stecyk daniel ostroff
1421,color money,1986,former pool hustler fast eddie felson paul newman decides want return game taking pupil meet talented green vincent lauria tom cruise proposes partnership tour pool hall eddie teach vincent trick scamming eventually grows frustrated vincents showboat antic leading argument fallingout eddie take playing soon cross path vincent opponent,89,73.0,inferior original go without saying paul newman tom cruise joy watch martin scorsese direction typically superb,47,25000,sport fitness,r,drama,english,martin scorsese,irving axelrod barbara de fina,walter tevis richard price,unknown,aug 10 2016,523m,1h 59m,touchstone picture,surround,unknown,unknown,paul newman tom cruise mary elizabeth mastrantonio helen shaver john turturro bill cobbs robert agins forest whitaker martin scorsese walter tevis richard price irving axelrod barbara de fina eric clapton robbie robertson mark knopfler michael ballhaus
1422,grab,2004,final leg major league baseball 2001 season giant batter barry bond score historic 73rd home run san franciscos pac bell park victorious ensuing scuffle control recordbreaking ball spectator patrick hayashi notion disputed nearby alex popov claim hayashi wrestled ball director michael wranovics examines resulting court battle medium circus following event obsessed fan behind controversy,92,87.0,dont baseball fan entertained absurdity obsession greed display documentary,48,100,sport fitness,unknown,documentary,english,michael wranovics,michael wranovics,michael wranovics,unknown,unknown,19k,1h 30m,crooked line production llc,unknown,unknown,unknown,michael wranovics michael wranovics josh keppel michael lindenberger michael lindenberger michael wranovics josh keppel zack richard
1423,hoosier,1986,failed college coach norman dale gene hackman get chance redemption hired direct basketball program high school tiny indiana town teacher barbara hershey persuades star player jimmy chitwood quit focus longneglected study dale struggle develop winning team face community criticism temper unconventional choice assistant coach shooter dennis hopper notorious alcoholic,89,88.0,may adhere sport underdog formula hoosier made loving craft feature excellent performance hard resist,46,50000,sport fitness,pg,drama,english,david anspaugh,angelo pizzo carter de,angelo pizzo,unknown,sep 20 2015,258m,1h 54m,hemdale film corporation u,surround stereo,unknown,unknown,gene hackman barbara hershey dennis hopper sheb wooley fern person brad boyle steve hollar brad long david neidorf kent poole david anspaugh angelo pizzo john daly derek gibson angelo pizzo carter de jerry goldsmith fred murphy carroll timothy omeara ken carlson
1424,girlfight,2000,newcomer michelle rodriguez astounding performance alongside jaime tirelli paul calderon santiago douglas nothing come easy diana guzman troubled girl brink womanhood teacher dont understand father underestimate friend diana struggle find respect dignity every day diana quick tempered young woman find discipline selfrespect love unlikely place boxing ring,88,75.0,michelle rodriguez give compelling performance despite lack boxing background karyn kusama pack punch directorial debut,129,10000,sport fitness,r language,drama,english,karyn kusama,unknown,karyn kusama,sep 29 2000 wide,may 13 2016,15m,1h 53m,independent film channel greenrenzi,sdds dolby sr dolby digital surround,flat 1851,unknown,michelle rodriguez jaime tirelli paul calderon santiago douglas ray santiago elisa bocanegra shannon walker williams iris littlethomas john sayles karyn kusama karyn kusama caroline kaplan john sayles jonathan sehring theodore shapiro patrick cady plummy tucker ellyn long marshall maria e nelson
1425,tristram shandy cock bull story,2005,director try shoot adaptation novel considered impossible film,88,66.0,steve coogan rob brydon add madcap knowing performance mix result fun postmodern romp,129,10000,sport fitness,r sexual contentlanguage,comedy,english,michael winterbottom,unknown,martin hardy,unknown,jan 28 2017,12m,1h 34m,bbc,unknown,unknown,unknown,steve coogan rob brydon keeley hawes shirley henderson dylan moran jeremy northam michael winterbottom martin hardy
